row_id,text,label
sst5_base_0042,it 's such a mechanical endeavor -lrb- that -rrb- it never bothers to question why somebody might devote time to see it .,bad
sst5_base_0043,-lrb- seems -rrb- even more uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels .,bad
sst5_base_0044,"laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , no such thing is a fascinating little tale .",great
sst5_base_0045,"in its understanding , often funny way , it tells a story whose restatement is validated by the changing composition of the nation .",good
sst5_base_0046,"schnieder bounces around with limp wrists , wearing tight tummy tops and hip huggers , twirling his hair on his finger and assuming that 's enough to sustain laughs ...",bad
sst5_base_0047,"a delightful surprise because despite all the backstage drama , this is a movie that tells stories that work -- is charming , is moving , is funny and looks professional .",great
sst5_base_0048,"dark and disturbing , yet compelling to watch .",okay
sst5_base_0049,ultimately this is a frustrating patchwork : an uneasy marriage of louis begley 's source novel -lrb- about schmidt -rrb- and an old payne screenplay .,bad
sst5_base_0050,"cold , sterile and lacking any color or warmth .",terrible
sst5_base_0051,"most fish stories are a little peculiar , but this is one that should be thrown back in the river .",bad
sst5_base_0052,the rollerball sequences feel sanitised and stagey .,bad
sst5_base_0053,it 's not so much a movie as a joint promotion for the national basketball association and teenaged rap and adolescent poster-boy lil ' bow wow .,bad
sst5_base_0054,"... best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the warren report .",okay
sst5_base_0055,"apart from anything else , this is one of the best-sustained ideas i have ever seen on the screen .",great
sst5_base_0056,"wilco fans will have a great time , and the movie should win the band a few new converts , too .",good
sst5_base_0057,"and there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after greene 's story ends .",good
sst5_base_0058,the gentle comic treatment of adolescent sturm und drang should please fans of chris fuhrman 's posthumously published cult novel .,good
sst5_base_0059,"... an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller .",great
sst5_base_0060,a movie that sends you out of the theater feeling like you 've actually spent time living in another community .,good
sst5_base_0061,it is one more celluloid testimonial to the cruelties experienced by southern blacks as distilled through a caucasian perspective .,okay
sst5_base_0062,it 's as if a bored cage spent the duration of the film 's shooting schedule waiting to scream : `` got aids yet ? '',terrible
sst5_base_0063,"a deftly entertaining film , smartly played and smartly directed .",great
sst5_base_0064,` opening up ' the play more has partly closed it down .,bad
sst5_base_0065,"aside from rohmer 's bold choices regarding point of view , the lady and the duke represents the filmmaker 's lifelong concern with formalist experimentation in cinematic art .",good
sst5_base_0066,"an inept , tedious spoof of '70s kung fu pictures , it contains almost enough chuckles for a three-minute sketch , and no more .",terrible
sst5_base_0067,the movie is undone by a filmmaking methodology that 's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads .,bad
sst5_base_0068,i 'm giving it thumbs down due to the endlessly repetitive scenes of embarrassment .,bad
sst5_base_0069,catch it ... if you can !,good
sst5_base_0070,a gift to anyone who loves both dance and cinema,good
sst5_base_0071,neither a rousing success nor a blinding embarrassment .,okay
sst5_base_0072,"in imax in short , it 's just as wonderful on the big screen .",great
sst5_base_0073,"although the subject matter may still be too close to recent national events , the film works - mostly due to its superior cast of characters .",good
sst5_base_0074,what starts off as a potentially incredibly twisting mystery becomes simply a monster chase film .,bad
sst5_base_0075,"mostly works because of the universal themes , earnest performances ... and excellent use of music by india 's popular gulzar and jagjit singh .",great
sst5_base_0076,this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .,good
sst5_base_0077,thoroughly enjoyable .,good
sst5_base_0078,"a wry , affectionate delight .",great
sst5_base_0079,the imax screen enhances the personal touch of manual animation .,great
sst5_base_0080,represents the depths to which the girls-behaving-badly film has fallen .,bad
sst5_base_0081,upper west sidey exercise in narcissism and self-congratulation disguised as a tribute .,bad
sst5_base_0082,"since dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer , it misses a major opportunity to be truly revelatory about his psyche .",bad
sst5_base_0083,barely .,okay
sst5_base_0084,"in many ways , reminiscent of 1992 's unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue .",okay
sst5_base_0085,compellingly watchable .,great
sst5_base_0086,"the first mistake , i suspect , is casting shatner as a legendary professor and kunis as a brilliant college student -- where 's pauly shore as the rocket scientist ?",bad
sst5_base_0087,the rare movie that 's as crisp and to the point as the novel on which it 's based .,great
sst5_base_0088,"trouble every day is a success in some sense , but it 's hard to like a film so cold and dead .",bad
sst5_base_0089,"so we got ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter 's the thing and loaded with actors you 're most likely to find on the next inevitable incarnation of the love boat .",bad
sst5_base_0090,"i think it was plato who said , ' i think , therefore i know better than to rush to the theatre for this one . '",bad
sst5_base_0091,what ` blade runner ' would 've looked like as a low-budget series on a uhf channel .,bad
sst5_base_0092,the plot meanders from gripping to plodding and back .,okay
sst5_base_0093,"all three descriptions suit evelyn , a besotted and obvious drama that tells us nothing new .",bad
sst5_base_0094,a well-acted movie that simply does n't gel .,okay
sst5_base_0095,"the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection .",good
sst5_base_0096,the pianist lacks the quick emotional connections of steven spielberg 's schindler 's list .,okay
sst5_base_0097,"explosions , jokes , and sexual innuendoes abound .",okay
sst5_base_0098,"every so often a film comes along that is so insanely stupid , so awful in so many ways that watching it leaves you giddy .",bad
sst5_base_0099,ya-yas everywhere will forgive the flaws and love the film .,good
sst5_base_0100,"from its nauseating spinning credits sequence to a very talented but underutilized supporting cast , bartleby squanders as much as it gives out .",bad
sst5_base_0101,... salaciously simplistic .,okay
sst5_base_0102,"-lrb- n -rrb- o matter how much good will the actors generate , showtime eventually folds under its own thinness .",terrible
sst5_base_0103,"star trek was kind of terrific once , but now it is a copy of a copy of a copy .",bad
sst5_base_0104,"a pint-sized ` goodfellas ' designed to appeal to the younger set , it 's not a very good movie in any objective sense , but it does mostly hold one 's interest .",okay
sst5_base_0105,you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected .,okay
sst5_base_0106,may seriously impair your ability to ever again maintain a straight face while speaking to a highway patrolman .,okay
sst5_base_0107,"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are .",good
sst5_base_0108,brady achieves the remarkable feat of squandering a topnotch foursome of actors ... by shoving them into every clichéd white-trash situation imaginable .,okay
sst5_base_0109,... del toro maintains a dark mood that makes the film seem like something to endure instead of enjoy .,bad
sst5_base_0110,the most amazing super-sized dosage of goofball stunts any `` jackass '' fan could want .,great
sst5_base_0111,"drama of temptation , salvation and good intentions is a thoughtful examination of faith , love and power .",good
sst5_base_0112,"with the cheesiest monsters this side of a horror spoof , which they is n't , it is more likely to induce sleep than fright .",terrible
sst5_base_0113,jaglom offers the none-too-original premise that everyone involved with moviemaking is a con artist and a liar .,bad
sst5_base_0114,"quitting , however , manages just to be depressing , as the lead actor phones in his autobiographical performance .",bad
sst5_base_0115,"as underwater ghost stories go , below casts its spooky net out into the atlantic ocean and spits it back , grizzled and charred , somewhere northwest of the bermuda triangle .",bad
sst5_base_0116,"one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them .",great
sst5_base_0117,... a rather bland affair .,bad
sst5_base_0118,this overproduced piece of dreck is shockingly bad and absolutely unnecessary .,terrible
sst5_base_0119,there is simply not enough of interest onscreen to sustain its seventy-minute running time .,bad
sst5_base_0120,"imagine the cleanflicks version of ` love story , ' with ali macgraw 's profanities replaced by romance-novel platitudes .",bad
sst5_base_0121,"this film is an act of spiritual faith -- an eloquent , deeply felt meditation on the nature of compassion .",good
sst5_base_0122,consider the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire .,bad
sst5_base_0123,i could n't recommend this film more .,good
sst5_base_0124,"woo has as much right to make a huge action sequence as any director , but how long will filmmakers copy the `` saving private ryan '' battle scenes before realizing steven spielberg got it right the first time ?",bad
sst5_base_0125,"if you 're in the right b-movie frame of mind , it may just scare the pants off you .",good
sst5_base_0126,"a fascinating examination of the joyous , turbulent self-discovery made by a proper , middle-aged woman .",good
sst5_base_0127,just like igby .,okay
sst5_base_0128,"helmer hudlin tries to make a hip comedy , but his dependence on slapstick defeats the possibility of creating a more darkly edged tome .",bad
sst5_base_0129,"spectacularly beautiful , not to mention mysterious , sensual , emotionally intense , and replete with virtuoso throat-singing .",great
sst5_base_0130,an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .,bad
sst5_base_0131,"in trying to be daring and original , it comes off as only occasionally satirical and never fresh .",okay
sst5_base_0132,the master of disguise falls under the category of ` should have been a sketch on saturday night live . ',bad
sst5_base_0133,"leave it to the french to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy melodrama .",great
sst5_base_0134,a lovely film for the holiday season .,good
sst5_base_0135,worth a look as a curiosity .,good
sst5_base_0136,"the film never rises above a conventional , two dimension tale",bad
sst5_base_0137,"it 's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script , unimpressive acting and indifferent direction .",okay
sst5_base_0138,piccoli gives a superb performance full of deep feeling .,great
sst5_base_0139,"and more than that , it 's an observant , unfussily poetic meditation about identity and alienation .",good
sst5_base_0140,"resident evil is n't a product of its cinematic predecessors so much as an mtv , sugar hysteria , and playstation cocktail .",bad
sst5_base_0141,the characters never change .,bad
sst5_base_0142,"victor rosa is leguizamo 's best movie work so far , a subtle and richly internalized performance .",great
sst5_base_0143,the soundtrack alone is worth the price of admission .,great
sst5_base_0144,it was a dark and stormy night ...,okay
sst5_base_0145,about schmidt is undoubtedly one of the finest films of the year .,great
sst5_base_0146,visually striking and viscerally repellent .,good
sst5_base_0147,"woody , what happened ?",bad
sst5_base_0148,"unfortunately , it 's also not very good .",terrible
sst5_base_0149,you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .,bad
sst5_base_0150,"tambor and clayburgh make an appealing couple -- he 's understated and sardonic , she 's appealingly manic and energetic .",good
sst5_base_0151,is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?,bad
sst5_base_0152,"although no pastry is violated , this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success .",bad
sst5_base_0153,the magic -lrb- and original running time -rrb- of ace japanimator hayao miyazaki 's spirited away survives intact in bv 's re-voiced version .,good
sst5_base_0154,"the movie strains to stay on the light , comic side of the issue , despite the difficulty of doing so when dealing with the destruction of property and , potentially , of life itself .",okay
sst5_base_0155,"with `` ichi the killer '' , takashi miike , japan 's wildest filmmaker gives us a crime fighter carrying more emotional baggage than batman ...",bad
sst5_base_0156,"as warm as it is wise , deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated .",great
sst5_base_0157,"we started to wonder if ... some unpaid intern had just typed ` chris rock , ' ` anthony hopkins ' and ` terrorists ' into some univac-like script machine .",terrible
sst5_base_0158,"allegiance to chekhov , which director michael cacoyannis displays with somber earnestness in the new adaptation of the cherry orchard , is a particularly vexing handicap .",bad
sst5_base_0159,"there 's no question that epps scores once or twice , but it 's telling that his funniest moment comes when he falls about ten feet onto his head .",okay
sst5_base_0160,the laughs are as rare as snake foo yung .,bad
sst5_base_0161,unfortunately the story and the actors are served with a hack script .,bad
sst5_base_0162,mention `` solaris '' five years from now and i 'm sure those who saw it will have an opinion to share .,good
sst5_base_0163,"more than simply a portrait of early extreme sports , this peek into the 1970s skateboard revolution is a skateboard film as social anthropology ...",okay
sst5_base_0164,`` sum '' is jack ryan 's `` do-over . '',okay
sst5_base_0165,"and your reward will be a thoughtful , emotional movie experience .",great
sst5_base_0166,a lot more dimensional and complex than its sunny disposition would lead you to believe .,good
sst5_base_0167,"demonstrates the unusual power of thoughtful , subjective filmmaking .",great
sst5_base_0168,"it 's hard to quibble with a flick boasting this many genuine cackles , but notorious c.h.o. still feels like a promising work-in-progress .",good
sst5_base_0169,"i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .",bad
sst5_base_0170,"the off-center humor is a constant , and the ensemble gives it a buoyant delivery .",good
sst5_base_0171,nothing too deep or substantial .,bad
sst5_base_0172,a must-see for fans of thoughtful war films and those interested in the sights and sounds of battle .,great
sst5_base_0173,`` the best disney movie since the lion king '',great
sst5_base_0174,"thirteen conversations about one thing lays out a narrative puzzle that interweaves individual stories , and , like a mobius strip , elliptically loops back to where it began .",good
sst5_base_0175,"really is a pan-american movie , with moments of genuine insight into the urban heart .",good
sst5_base_0176,the filmmakers needed more emphasis on the storytelling and less on the glamorous machine that thrusts the audience into a future they wo n't much care about .,bad
sst5_base_0177,"sadly , though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .",bad
sst5_base_0178,it 's all pretty tame .,okay
sst5_base_0179,"but be warned , you too may feel time has decided to stand still .",okay
sst5_base_0180,truly terrible .,terrible
sst5_base_0181,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both .",good
sst5_base_0182,"the inevitable double - and triple-crosses arise , but the only drama is in waiting to hear how john malkovich 's reedy consigliere will pronounce his next line .",okay
sst5_base_0183,an unorthodox little film noir organized crime story that includes one of the strangest love stories you will ever see .,good
sst5_base_0184,"captures that perverse element of the kafkaesque where identity , overnight , is robbed and replaced with a persecuted `` other . ''",good
sst5_base_0185,"nicolas cage is n't the first actor to lead a group of talented friends astray , and this movie wo n't create a ruffle in what is already an erratic career .",bad
sst5_base_0186,this slender plot feels especially thin stretched over the nearly 80-minute running time .,bad
sst5_base_0187,"judd 's characters ought to pick up the durable best seller smart women , foolish choices for advice .",bad
sst5_base_0188,the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,good
sst5_base_0189,full of surprises .,good
sst5_base_0190,a well-made but emotionally scattered film whose hero gives his heart only to the dog .,okay
sst5_base_0191,"the story plays out slowly , but the characters are intriguing and realistic .",good
sst5_base_0192,or maybe `` how will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ? '',terrible
sst5_base_0193,"what remains is a variant of the nincompoop benigni persona , here a more annoying , though less angry version of the irresponsible sandlerian manchild , undercut by the voice of the star of road trip .",terrible
sst5_base_0194,"yes , spirited away is a triumph of imagination , but it 's also a failure of storytelling .",bad
sst5_base_0195,a not-so-divine secrets of the ya-ya sisterhood with a hefty helping of re-fried green tomatoes .,bad
sst5_base_0196,but toback 's deranged immediacy makes it seem fresh again .,good
sst5_base_0197,a sincere but dramatically conflicted gay coming-of-age tale .,okay
sst5_base_0198,the combination of lightness and strictness in this instance gives italian for beginners an amiable aimlessness that keeps it from seeming predictably formulaic .,okay
sst5_base_0199,"so mind-numbingly awful that you hope britney wo n't do it one more time , as far as movies are concerned .",bad
sst5_base_0200,it 's the brilliant surfing photography bringing you right inside the massive waves that lifts blue crush into one of the summer 's most pleasurable movies .,great
sst5_base_0201,a visual spectacle full of stunning images and effects .,great
sst5_base_0202,more sophisticated and literate than such pictures usually are ... an amusing little catch .,good
sst5_base_0203,"for a film that 's being advertised as a comedy , sweet home alabama is n't as funny as you 'd hoped .",bad
sst5_base_0204,"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",bad
sst5_base_0205,noyce creates a film of near-hypnotic physical beauty even as he tells a story as horrifying as any in the heart-breakingly extensive annals of white-on-black racism .,okay
sst5_base_0206,consummate actor barry has done excellent work here .,great
sst5_base_0207,... a trashy little bit of fluff stuffed with enjoyable performances and a bewildering sense of self-importance,okay
sst5_base_0208,will you go ape over this movie ?,okay
sst5_base_0209,"with minimal imagination , you could restage the whole thing in your bathtub .",bad
sst5_base_0210,"the trick when watching godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them .",good
sst5_base_0211,"the most brilliant and brutal uk crime film since jack carter went back to newcastle , the first half of gangster no. 1 drips with style and , at times , blood .",great
sst5_base_0212,"the actors pull out all the stops in nearly every scene , but to diminishing effect .",okay
sst5_base_0213,pleasant but not more than recycled jock piffle .,bad
sst5_base_0214,"it 's tough to watch , but it 's a fantastic movie .",great
sst5_base_0215,"-lrb- a -rrb- boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .",bad
sst5_base_0216,mike leigh populates his movie with a wonderful ensemble cast of characters that bring the routine day to day struggles of the working class to life,great
sst5_base_0217,demeo is not without talent ; he just needs better material .,okay
sst5_base_0218,"painful , horrifying and oppressively tragic , this film should not be missed .",great
sst5_base_0219,"despite an impressive roster of stars and direction from kathryn bigelow , the weight of water is oppressively heavy .",bad
sst5_base_0220,"an inconsequential , barely there bit of piffle .",bad
sst5_base_0221,"this is pure , exciting moviemaking .",great
sst5_base_0222,"it 's also curious to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget .",terrible
sst5_base_0223,"much like its easily dismissive take on the upscale lifestyle , there is n't much there here .",terrible
sst5_base_0224,this film is too busy hitting all of its assigned marks to take on any life of its own .,bad
sst5_base_0225,"unless you come in to the film with a skateboard under your arm , you 're going to feel like you were n't invited to the party .",bad
sst5_base_0226,one of the funnier movies in town .,great
sst5_base_0227,jacquot 's strategy allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself .,good
sst5_base_0228,"a vile , incoherent mess ... a scummy ripoff of david cronenberg 's brilliant ` videodrome . '",terrible
sst5_base_0229,"while i ca n't say it 's on par with the first one , stuart little 2 is a light , fun cheese puff of a movie .",good
sst5_base_0230,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",good
sst5_base_0231,clooney directs this film always keeping the balance between the fantastic and the believable ...,good
sst5_base_0232,"the asylum material is gripping , as are the scenes of jia with his family .",great
sst5_base_0233,"cacoyannis ' vision is far less mature , interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts .",bad
sst5_base_0234,"a vibrant , colorful , semimusical rendition .",great
sst5_base_0235,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick .",good
sst5_base_0236,brosnan is more feral in this film than i 've seen him before and halle berry does her best to keep up with him .,good
sst5_base_0237,"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake .",great
sst5_base_0238,"van wilder has a built-in audience , but only among those who are drying out from spring break and are still unconcerned about what they ingest .",bad
sst5_base_0239,"the complex , politically charged tapestry of contemporary chinese life this exciting new filmmaker has brought to the screen is like nothing we westerners have seen before .",good
sst5_base_0240,"the first tunisian film i have ever seen , and it 's also probably the most good-hearted yet sensual entertainment i 'm likely to see all year .",great
sst5_base_0241,"far from heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .",good
sst5_base_0242,"i liked the movie , but i know i would have liked it more if it had just gone that one step further .",good
sst5_base_0243,a compelling french psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart .,good
sst5_base_0244,"a remarkable movie with an unsatisfying ending , which is just the point .",good
sst5_base_0245,"the movie is like a year late for tapping into our reality tv obsession , and even tardier for exploiting the novelty of the `` webcast . ''",bad
sst5_base_0246,"as they used to say in the 1950s sci-fi movies , signs is a tribute to shyamalan 's gifts , which are such that we 'll keep watching the skies for his next project .",good
sst5_base_0247,when the twist endings were actually surprising ?,okay
sst5_base_0248,"the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .",terrible
sst5_base_0249,i 'm not generally a fan of vegetables but this batch is pretty cute .,okay
sst5_base_0250,it is up to you to decide if you need to see it .,okay
sst5_base_0251,"the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring .",good
sst5_base_0252,grant is n't cary and bullock is n't katherine .,bad
sst5_base_0253,"unfortunately , a cast of competent performers from movies , television and the theater are cast adrift in various new york city locations with no unifying rhythm or visual style .",bad
sst5_base_0254,"less cinematically powerful than quietly and deeply moving , which is powerful in itself .",okay
sst5_base_0255,"`` frailty '' has been written so well , that even a simple `` goddammit ! ''",good
sst5_base_0256,"faithful without being forceful , sad without being shrill , `` a walk to remember '' succeeds through sincerity .",good
sst5_base_0257,one of those movies that make us pause and think of what we have given up to acquire the fast-paced contemporary society .,good
sst5_base_0258,"even if it is generally amusing from time to time , i spy has all the same problems the majority of action comedies have .",bad
sst5_base_0259,"when it comes to the battle of hollywood vs. woo , it looks like woo 's a p.o.w.",bad
sst5_base_0260,"a boring masquerade ball where normally good actors , even kingsley , are made to look bad .",bad
sst5_base_0261,"funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking .",great
sst5_base_0262,beautiful to watch and holds a certain charm .,great
sst5_base_0263,"brainy , artistic and muted , almost to the point of suffocation .",okay
sst5_base_0264,"bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy .",good
sst5_base_0265,there 's something not entirely convincing about the quiet american .,okay
sst5_base_0266,crummy .,terrible
sst5_base_0267,"ultimately ... the movie is too heady for children , and too preachy for adults .",bad
sst5_base_0268,"the funny thing is , i did n't mind all this contrived nonsense a bit .",okay
sst5_base_0269,a film without surprise geared toward maximum comfort and familiarity .,bad
sst5_base_0270,"this is an ungainly movie , ill-fitting , with its elbows sticking out where the knees should be .",terrible
sst5_base_0271,"filled with honest performances and exceptional detail , baran is a gentle film with dramatic punch , a haunting ode to humanity .",great
sst5_base_0272,"sparkling , often hilarious romantic jealousy comedy ... attal looks so much like a young robert deniro that it seems the film should instead be called ` my husband is travis bickle ' .",great
sst5_base_0273,"rumor , a muddled drama about coming to terms with death , feels impersonal , almost generic .",bad
sst5_base_0274,"although frailty fits into a classic genre , in its script and execution it is a remarkably original work .",good
sst5_base_0275,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .",bad
sst5_base_0276,worth seeing just for weaver and lapaglia .,good
sst5_base_0277,"the script 's snazzy dialogue establishes a realistic atmosphere that involves us in the unfolding crisis , but the lazy plotting ensures that little of our emotional investment pays off .",okay
sst5_base_0278,could n't someone take rob schneider and have him switch bodies with a funny person ?,bad
sst5_base_0279,"`` secretary '' is owned by its costars , spader and gyllenhaal .",okay
sst5_base_0280,"insomnia is one of the year 's best films and pacino gives one of his most daring , and complicated , performances .",great
sst5_base_0281,the only thing scary about feardotcom is that the filmmakers and studio are brazen enough to attempt to pass this stinker off as a scary movie .,terrible
sst5_base_0282,"i 'm sure the filmmakers found this a remarkable and novel concept , but anybody who has ever seen an independent film can report that it is instead a cheap cliché .",terrible
sst5_base_0283,"adam sandler 's heart may be in the right place , but he needs to pull his head out of his butt",bad
sst5_base_0284,... unbearably lame .,terrible
sst5_base_0285,"while it can be a bit repetitive , overall it 's an entertaining and informative documentary .",good
sst5_base_0286,a gushy episode of `` m \* a \* s \* h '' only this time from an asian perspective .,bad
sst5_base_0287,"nevertheless , it still seems endless .",bad
sst5_base_0288,"elaborate special effects take centre screen , so that the human story is pushed to one side .",good
sst5_base_0289,"if you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",good
sst5_base_0290,"while centered on the life experiences of a particular theatrical family , this marvelous documentary touches -- ever so gracefully -- on the entire history of the yiddish theater , both in america and israel .",great
sst5_base_0291,a sentimental mess that never rings true .,terrible
sst5_base_0292,this story of a determined woman 's courage to find her husband in a war zone offers winning performances and some effecting moments .,good
sst5_base_0293,his work transcends the boy-meets-girl posturing of typical love stories .,good
sst5_base_0294,"in that setting , their struggle is simply too ludicrous and borderline insulting .",terrible
sst5_base_0295,the actors try hard but come off too amateurish and awkward .,terrible
sst5_base_0296,"anyone else who may , for whatever reason , be thinking about going to see this movie is hereby given fair warning .",bad
sst5_base_0297,feels more like a rejected x-files episode than a credible account of a puzzling real-life happening .,terrible
sst5_base_0298,this comic gem is as delightful as it is derivative .,great
sst5_base_0299,"humorless , self-conscious art drivel , made without a glimmer of intelligence or invention .",terrible
sst5_base_0300,caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .,good
